sample;tokens;tags
винигред;['▁', 'вини', 'г', 'ред'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
жсемечки;['▁ж', 'се', 'ме', 'чки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
корбонат;['▁кор', 'бо', 'нат'];['B-TYPE', 'I-TYPE', 'I-TYPE']
bern;['▁ber', 'n'];['B-BRAND', 'I-BRAND']
твоожный;['▁т', 'во', 'ож', 'ный'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
селяноч;['▁селян', 'оч'];['B-TYPE', 'I-TYPE']
вариль;['▁вар', 'иль'];['B-TYPE', 'I-TYPE']
по́мидоры;['▁по', '́', 'ми', 'дор', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
пеленки детские;['▁пе', 'лен', 'ки', '▁детски', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
ряжинка;['▁', 'ря', 'жин', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
чеббурицца;['▁че', 'б', 'бур', 'и', 'цца'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
кашк;['▁каш', 'к'];['B-TYPE', 'I-TYPE']
global village летняя ягода;['▁global', '▁village', '▁лет', 'няя', '▁яго', 'да'];['B-BRAND', 'B-BRAND', 'B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
поастыр;['▁по', 'ас', 'тыр'];['B-TYPE', 'I-TYPE', 'I-TYPE']
макаргны;['▁макар', 'г', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE']
таз полимерб;['▁та', 'з', '▁поли', 'мер', 'б'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
молоко дет;['▁молоко', '▁', 'дет'];['B-TYPE', 'B-TYPE', 'I-TYPE']
сыр чеддер;['▁сыр', '▁че', 'д', 'дер'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
пломбир прикет вологодский;['▁пло', 'м', 'бир', '▁при', 'кет', '▁во', 'ло', 'год', 'ский'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
котлеты замороженные;['▁кот', 'лет', 'ы', '▁замор', 'ожен', 'ные'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
фены unit;['▁фен', 'ы', '▁unit'];['B-TYPE', 'I-TYPE', 'B-BRAND']
фасоль печеная;['▁фа', 'соль', '▁пече', 'ная'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
гозированая;['▁го', 'з', 'ирован', 'ая'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
стейкл;['▁', 'стей', 'кл'];['B-TYPE', 'I-TYPE', 'I-TYPE']
супавой;['▁су', 'па', 'вой'];['B-TYPE', 'I-TYPE', 'I-TYPE']
капсулы дл стирки;['▁кап', 'сул', 'ы', '▁', 'дл', '▁сти', 'рки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
herberus;['▁her', 'ber', 'us'];['B-BRAND', 'I-BRAND', 'I-BRAND']
черноголовка квас;['▁черно', 'голов', 'ка', '▁к', 'вас'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
винргоад;['▁', 'вин', 'р', 'го', 'ад'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
гренкт;['▁гр', 'ен', 'кт'];['B-TYPE', 'I-TYPE', 'I-TYPE']
средство для пос;['▁средство', '▁для', '▁пос'];['B-TYPE', 'O', 'O']
белая поляна;['▁бел', 'ая', '▁поля', 'на'];['B-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND']
варенная черкаш;['▁вар', 'енная', '▁', 'черк', 'аш'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
приправа доя курицы;['▁при', 'права', '▁до', 'я', '▁кур', 'и', 'цы'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O']
батон отрубной;['▁ба', 'тон', '▁от', 'руб', 'ной'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
нуга умкк;['▁ну', 'га', '▁у', 'мк', 'к'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
gorila;['▁gor', 'ila'];['B-BRAND', 'I-BRAND']
схлеб;['▁с', 'х', 'леб'];['B-TYPE', 'I-TYPE', 'I-TYPE']
бекон для жарреи;['▁бе', 'кон', '▁для', '▁жар', 'ре', 'и'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
йогуот;['▁й', 'ог', 'у', 'от'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
вода газировпнная;['▁вода', '▁газ', 'иров', 'п', 'нная'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
пемолюкс;['▁пе', 'мо', 'лю', 'кс'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
приправа для сви;['▁при', 'права', '▁для', '▁сви'];['B-TYPE', 'I-TYPE', 'O', 'O']
подушка;['▁под', 'ушка'];['B-TYPE', 'I-TYPE']
трусики mara;['▁т', 'рус', 'ики', '▁mara'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
перчатки, вареж;['▁пер', 'чат', 'ки', ',', '▁ва', 'реж'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
мясной хлебе;['▁мя', 'с', 'ной', '▁хлеб', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
пахлавы каск;['▁пах', 'ла', 'вы', '▁кас', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
сырок²;['▁сыр', 'ок', '2'];['B-TYPE', 'I-TYPE', 'I-TYPE']
соль экстра;['▁', 'соль', '▁экс', 'тра'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
ореховое;['▁орех', 'овое'];['B-TYPE', 'I-TYPE']
ролик;['▁', 'ролик'];['B-TYPE', 'I-TYPE']
катык ростагроэкспор;['▁ка', 'тык', '▁роста', 'гро', 'эк', 'спор'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
фунчоща;['▁', 'фу', 'нчо', 'ща'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
кисточки;['▁к', 'ист', 'очки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
творожные продук;['▁твор', 'ож', 'ные', '▁про', 'дук'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
приправа ддя плова;['▁при', 'права', '▁д', 'дя', '▁плов', 'а'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
зеленый;['▁зелен', 'ый'];['B-TYPE', 'I-TYPE']
туалетня;['▁туалет', 'ня'];['B-TYPE', 'I-TYPE']
шоколадные издел;['▁шоколад', 'ные', '▁из', 'дел'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
чай с шип;['▁чай', '▁с', '▁', 'шип'];['B-TYPE', 'O', 'O', 'O']
перец болг;['▁пере', 'ц', '▁бол', 'г'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
чеснок⁶;['▁че', 'сно', 'к', '6'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
джин;['▁д', 'жин'];['B-BRAND', 'I-BRAND']
таблетк econ;['▁таблет', 'к', '▁e', 'con'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
кондитер;['▁кон', 'ди', 'тер'];['B-TYPE', 'I-TYPE', 'I-TYPE']
тыквены;['▁', 'тык', 'вен', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
мягкий творог 5%;['▁', 'мягк', 'ий', '▁твор', 'ог', '▁5%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'B-PERCENT']
каравай каравай;['▁кара', 'вай', '▁кара', 'вай'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
комбуча;['▁ком', 'бу', 'ча'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сметанал;['▁смета', 'нал'];['B-TYPE', 'I-TYPE']
енергетик;['▁енерг', 'е', 'тик'];['B-TYPE', 'I-TYPE', 'I-TYPE']
пылесос ir;['▁пыл', 'е', 'сос', '▁ir'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
пр!ст хлебц;['▁пр', '!', 'ст', '▁хлеб', 'ц'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
шоколаддные;['▁шоколад', 'д', 'ные'];['B-TYPE', 'I-TYPE', 'I-TYPE']
левушка;['▁лев', 'ушка'];['B-BRAND', 'I-BRAND']
сушки slavyanka;['▁су', 'шки', '▁slav', 'yan', 'ka'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
сириаке;['▁си', 'ри', 'а', 'ке'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
каартофель;['▁ка', 'арт', 'оф', 'ель'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
нори с кимчи;['▁но', 'ри', '▁с', '▁ким', 'чи'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
bombibar;['▁bomb', 'i', 'bar'];['B-BRAND', 'I-BRAND', 'I-BRAND']
напиток кокосовый;['▁на', 'пит', 'ок', '▁ко', 'кос', 'овый'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
грунт торфян;['▁грунт', '▁то', 'рф', 'ян'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
кофе жокей;['▁кофе', '▁жок', 'ей'];['B-TYPE', 'B-BRAND', 'I-BRAND']
индейка мо;['▁', 'инде', 'йка', '▁мо'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
бужанина;['▁бу', 'жан', 'ина'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сметанино;['▁смета', 'ни', 'но'];['B-TYPE', 'I-TYPE', 'I-TYPE']
салаты;['▁салат', 'ы'];['B-TYPE', 'I-TYPE']
китекет;['▁', 'ките', 'кет'];['B-BRAND', 'I-BRAND', 'I-BRAND']
жнергетик;['▁', 'жне', 'рге', 'тик'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
граьовые;['▁гра', 'ь', 'овые'];['B-TYPE', 'I-TYPE', 'I-TYPE']
протеиново;['▁протеин', 'ово'];['B-TYPE', 'I-TYPE']
семечки джин соленые;['▁семе', 'чки', '▁д', 'жин', '▁со', 'ле', 'ные'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
гречневый;['▁гре', 'чне', 'вы', 'й'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
кружек факелм;['▁кру', 'жек', '▁фа', 'кел', 'м'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
сардмна;['▁сард', 'м', 'на'];['B-TYPE', 'I-TYPE', 'I-TYPE']
полоенце;['▁', 'поло', 'енце'];['B-TYPE', 'I-TYPE', 'I-TYPE']
каша молочная;['▁каш', 'а', '▁', 'моло', 'чная'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
маринованна;['▁', 'марин', 'ован', 'на'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
jс7;['▁j', 'с', '7'];['B-BRAND', 'I-BRAND', 'I-BRAND']
редмонд кофевар;['▁ред', 'мо', 'нд', '▁кофе', 'вар'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
cilit;['▁cili', 't'];['B-BRAND', 'I-BRAND']
чбооки;['▁ч', 'бо', 'о', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
роллы;['▁рол', 'лы'];['B-TYPE', 'I-TYPE']
помадор;['▁по', 'ма', 'дор'];['B-TYPE', 'I-TYPE', 'I-TYPE']
пергямент;['▁пер', 'г', 'я', 'мент'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
disney зефир;['▁dis', 'ney', '▁з', 'еф', 'ир'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
liberhaus салатник;['▁liber', 'haus', '▁салат', 'ник'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
энергетик без сахарв;['▁энерг', 'е', 'тик', '▁без', '▁сахар', 'в'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
ссемечки;['▁с', 'се', 'ме', 'чки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
мармелшоу;['▁мар', 'мел', 'шо', 'у'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
газированач;['▁газ', 'ирован', 'ач'];['B-TYPE', 'I-TYPE', 'I-TYPE']
гпенки;['▁г', 'пен', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
бедро индейки;['▁бе', 'дро', '▁', 'инде', 'йки'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
дрожжи1;['▁дро', 'ж', 'жи', '1'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
шаколадк;['▁ша', 'ко', 'лад', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
юре;['▁', 'ю', 'ре'];['B-TYPE', 'I-TYPE', 'I-TYPE']
шашлыйк;['▁шаш', 'лый', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE']
стакан;['▁стакан'];['B-TYPE']
томатна паста;['▁том', 'ат', 'на', '▁паста'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
каши детские;['▁каш', 'и', '▁детски', 'е'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
огурц;['▁о', 'гур', 'ц'];['B-TYPE', 'I-TYPE', 'I-TYPE']
заправка для борша;['▁за', 'прав', 'ка', '▁для', '▁бор', 'ша'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
сноуборд;['▁', 'сно', 'у', 'борд'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
мыло для оук;['▁мы', 'ло', '▁для', '▁о', 'ук'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
овсежитель;['▁о', 'все', 'ж', 'итель'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
аско;['▁а', 'ско'];['B-BRAND', 'I-BRAND']
сухари с изю;['▁су', 'хар', 'и', '▁с', '▁из', 'ю'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
малиновый;['▁мали', 'н', 'овый'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сидр марк;['▁си', 'др', '▁марк'];['B-TYPE', 'I-TYPE', 'B-BRAND']
bogbon;['▁bog', 'bon'];['B-BRAND', 'I-BRAND']
колбаса варенка;['▁кол', 'баса', '▁вар', 'енка'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
антипеоспирант;['▁анти', 'пе', 'о', 'спира', 'нт'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
био;['▁био'];['B-TYPE']
каша hip;['▁каш', 'а', '▁hip'];['B-TYPE', 'I-TYPE', 'B-BRAND']
сулгун;['▁', 'сул', 'гун'];['B-TYPE', 'I-TYPE', 'I-TYPE']
антиперсипирант;['▁анти', 'пер', 'сип', 'иран', 'т'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
гель пятновыводител;['▁', 'гель', '▁пят', 'нов', 'ы', 'водите', 'л'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
молоко село зеле;['▁молоко', '▁село', '▁з', 'еле'];['B-TYPE', 'O', 'O', 'O']
пильсени;['▁пи', 'ль', 'сени'];['B-TYPE', 'I-TYPE', 'I-TYPE']
бифбу;['▁би', 'ф', 'бу'];['B-TYPE', 'I-TYPE', 'I-TYPE']
корм для собак сухой;['▁корм', '▁для', '▁собак', '▁сухо', 'й'];['B-TYPE', 'B-TYPE', 'B-TYPE', 'B-TYPE', 'I-TYPE']
rich;['▁rich'];['B-BRAND']
супер дринк;['▁супер', '▁', 'дри', 'нк'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
овощечист;['▁овощ', 'е', 'чист'];['B-TYPE', 'I-TYPE', 'I-TYPE']
изюминка;['▁из', 'юм', 'инка'];['B-TYPE', 'I-TYPE', 'I-TYPE']
мармеладкт;['▁мар', 'ме', 'лад', 'кт'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
кокосовая;['▁ко', 'кос', 'овая'];['B-TYPE', 'I-TYPE', 'I-TYPE']
свёкле;['▁св', 'ё', 'кле'];['B-TYPE', 'I-TYPE', 'I-TYPE']
иогурд;['▁и', 'о', 'гур', 'д'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
кукуроза;['▁ку', 'кур', 'оза'];['B-TYPE', 'I-TYPE', 'I-TYPE']
напиток безалкогольн;['▁на', 'пит', 'ок', '▁без', 'ал', 'кого', 'ль', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
цукат;['▁', 'цу', 'кат'];['B-TYPE', 'I-TYPE', 'I-TYPE']
альбомов herlit;['▁альбом', 'ов', '▁her', 'lit'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
наггетцы самсо;['▁на', 'г', 'ге', 'т', 'цы', '▁сам', 'со'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
винные напит;['▁ви', 'нные', '▁на', 'пит'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
варёно копчёная нарезка;['▁вар', 'ё', 'но', '▁коп', 'чё', 'ная', '▁на', 'рез', 'ка'];['O', 'O', 'O', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
перфект;['▁пер', 'фект'];['B-BRAND', 'I-BRAND']
caramel;['▁caramel'];['B-TYPE']
burg;['▁burg'];['B-BRAND']
сырки творожный;['▁сыр', 'ки', '▁твор', 'ож', 'ный'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
свекла отварная;['▁све', 'кла', '▁от', 'вар', 'ная'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
царицыно сырокопченая;['▁цари', 'цы', 'но', '▁сыр', 'о', 'коп', 'че', 'ная'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
каша красная;['▁каш', 'а', '▁крас', 'ная'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
кофеты чио рио;['▁кофе', 'ты', '▁чи', 'о', '▁ри', 'о'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND']
спагетти для бито;['▁спа', 'ге', 'т', 'ти', '▁для', '▁би', 'то'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
сушкиу;['▁су', 'шки', 'у'];['B-TYPE', 'I-TYPE', 'I-TYPE']
геркулесо;['▁', 'гер', 'ку', 'лес', 'о'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
треской;['▁тре', 'ской'];['B-TYPE', 'I-TYPE']
deni или;['▁de', 'ni', '▁или'];['B-BRAND', 'I-BRAND', 'O']
spat;['▁spa', 't'];['B-BRAND', 'I-BRAND']
ккпсулы;['▁к', 'к', 'пс', 'улы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
эфасоль;['▁э', 'фа', 'соль'];['B-TYPE', 'I-TYPE', 'I-TYPE']
зоо мис;['▁з', 'оо', '▁мис'];['B-BRAND', 'I-BRAND', 'B-TYPE']
пилы;['▁пи', 'лы'];['B-TYPE', 'I-TYPE']
ма4аронные;['▁ма', '4', 'а', 'рон', 'ные'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
медовуха афанаси;['▁мед', 'ов', 'уха', '▁а', 'фан', 'аси'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
салфетеи;['▁сал', 'фе', 'те', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
гортица;['▁гор', 'тица'];['B-TYPE', 'I-TYPE']
крабовуе;['▁кра', 'бо', 'ву', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
немолпко;['▁не', 'мол', 'п', 'ко'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
ванильный с.пудовъ;['▁ван', 'ил', 'ьный', '▁с', '.', 'пу', 'до', 'въ'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
загус;['▁заг', 'ус'];['B-TYPE', 'I-TYPE']
гречкски;['▁гре', 'ч', 'к', 'ски'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
макароеы;['▁макар', 'ое', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE']
скмнчки;['▁ск', 'мн', 'чки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
стм теки;['▁ст', 'м', '▁те', 'ки'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
яаблоко;['▁я', 'а', 'блок', 'о'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
кваса;['▁', 'ква', 'са'];['B-TYPE', 'I-TYPE', 'I-TYPE']
мед путина;['▁мед', '▁пути', 'на'];['B-TYPE', 'B-BRAND', 'I-BRAND']
эколь;['▁э', 'коль'];['B-TYPE', 'I-TYPE']
кяйца;['▁к', 'яй', 'ца'];['B-TYPE', 'I-TYPE', 'I-TYPE']
гречкв;['▁гре', 'ч', 'кв'];['B-TYPE', 'I-TYPE', 'I-TYPE']
растория;['▁раст', 'ория'];['B-TYPE', 'I-TYPE']
перец свежи;['▁пере', 'ц', '▁свежи'];['B-TYPE', 'I-TYPE', 'B-TYPE']
мексиканска;['▁ме', 'кси', 'ка', 'нска'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
сгущёнко;['▁с', 'гу', 'щ', 'ён', 'ко'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
колбоса;['▁кол', 'бо', 'са'];['B-TYPE', 'I-TYPE', 'I-TYPE']
галстуки;['▁гал', 'сту', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
ванилин трапеза;['▁', 'вани', 'лин', '▁трап', 'е', 'за'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
антижир;['▁анти', 'жир'];['B-TYPE', 'I-TYPE']
гречесеиц;['▁гре', 'че', 'се', 'иц'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
макароны цельнозерновые;['▁макар', 'оны', '▁цель', 'но', 'зер', 'н', 'овые'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
огурцы короткоплодные;['▁о', 'гур', 'цы', '▁коротко', 'плод', 'ные'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
тарелочка;['▁та', 'рел', 'очка'];['B-TYPE', 'I-TYPE', 'I-TYPE']
персико;['▁', 'перс', 'ико'];['B-TYPE', 'I-TYPE', 'I-TYPE']
ядоа;['▁я', 'до', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE']
детские товары;['▁детски', 'е', '▁товары'];['B-TYPE', 'I-TYPE', 'B-TYPE']
простоквашка агрокомпле;['▁просто', 'ква', 'шка', '▁агро', 'ком', 'пле'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
arkhangel'skkhleb багет;"['▁ar', 'khan', 'gel', ""'"", 'sk', 'kh', 'leb', '▁баг', 'ет']";['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
льн;['▁', 'ль', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE']
cleanic гигиеническая;['▁clean', 'ic', '▁ги', 'ги', 'ен', 'ическая'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
печенье⁹;['▁пече', 'нь', 'е', '9'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
скворода стеник;['▁ск', 'вор', 'ода', '▁сте', 'ник'];['O', 'O', 'O', 'O', 'O']
сыровяленны;['▁сыр', 'ов', 'я', 'лен', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
горчичныц;['▁гор', 'чи', 'чны', 'ц'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
печеню;['▁пече', 'ню'];['B-TYPE', 'I-TYPE']
шоколадка со сливочной;['▁шоколад', 'ка', '▁со', '▁с', 'лив', 'очной'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
коробок pionee;['▁короб', 'ок', '▁pion', 'ee'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
лаваша;['▁лав', 'аша'];['B-TYPE', 'I-TYPE']
frisi;['▁fris', 'i'];['O', 'O']
вода с газированная;['▁вода', '▁с', '▁газ', 'ирован', 'ная'];['B-TYPE', 'O', 'O', 'O', 'O']
