tokens;tags;sample
['▁400', 'г', '▁без', '▁лак', 'то', 'зы'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];400г без лактозы
['▁мя', 'со', '▁для', '▁гри', 'ля'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O'];мясо для гриля
['▁макар', 'оны', 'ц'];['B-TYPE', 'I-TYPE', 'I-TYPE'];макароныц
['▁су', 'хар', 'ики', '▁150', '▁г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];сухарики 150 г
['▁fel', 'iks'];['B-BRAND', 'I-BRAND'];feliks
['▁к', 'за', 'мор', 'ожен', 'нные'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];кзамороженнные
['▁че', 'сно', 'к', '▁су', 'шен'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];чеснок сушен
['▁кон', 'де', 'ционер', '▁для', '▁бел', 'ья'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O'];кондеционер для белья
['▁хлеб', 'цы', '▁200', '▁Г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];хлебцы 200 Г
['▁max', 'well', '▁фен'];['B-BRAND', 'I-BRAND', 'B-TYPE'];maxwell фен
['▁по', 'г', 'рем', 'ушка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];погремушка
['▁со', 'си', 'с', '.', '▁', 'сво'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];сосис. сво
['▁500', '▁г', '▁Для', '▁Други', 'х', '▁Пи', 'том', 'цев'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];500 г Для Других Питомцев
['▁темп', '▁шп', 'и', 'кач', 'к'];['B-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];темп шпикачк
['▁хлеб', '▁для', '▁', 'точ', 'тов'];['B-TYPE', 'O', 'O', 'O', 'O'];хлеб для точтов
['▁с', 'тира', 'льны'];['B-TYPE', 'I-TYPE', 'I-TYPE'];стиральны
['▁', '449', '▁мл', '▁Эн', 'ерге', 'тики'];['B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE'];449 мл Энергетики
['▁мар', 'ме', 'лад', '▁325', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];мармелад 325г
['▁gra', 'zia', '▁плав', 'ки'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];grazia плавки
['▁ми', 'дий'];['B-TYPE', 'I-TYPE'];мидий
['▁кра', 'би', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE'];крабики
['▁', 'яй', 'цо', '6'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];яйцо6
['▁куп', 'ат'];['B-TYPE', 'I-TYPE'];купат
['▁й', '▁Л'];['B-TYPE', 'B-VOLUME'];▁ й ▁Л
['▁шам', 'пу', 'н', '1'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];шампун1
['▁ostrov', '▁га', 'мак'];['B-BRAND', 'B-TYPE', 'I-TYPE'];ostrov гамак
['▁м', 'сс'];['B-TYPE', 'I-TYPE'];мсс
['▁сок', '▁Добр', 'ы'];['B-TYPE', 'B-BRAND', 'I-BRAND'];▁сок ▁ Добры
['▁пе', 'льне', 'мени'];['B-TYPE', 'I-TYPE', 'I-TYPE'];пельнемени
['▁кур', 'тя', 'ев', 'ская'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];куртяевская
['▁ке', '▁SEM', 'PER', '▁1%'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'B-PERCENT'];▁ке ▁SEMPER ▁1%
['▁as', 'san'];['B-BRAND', 'I-BRAND'];assan
['▁', 'нут', 'пи', 'лон'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];нутпилон
['▁m', '&', 'ms', '▁дра', 'же'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];m&ms драже
['▁', 'зеркал', 'ё'];['B-TYPE', 'I-TYPE', 'I-TYPE'];зеркалё
['▁су', 'лугу', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE'];сулугуи
['▁по', 'ми', 'род', 'оры'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];помиродоры
['▁шп', 'ика', 'чки', '▁оста', 'нки', 'нский'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];шпикачки останкинский
['▁каб', 'а', 'чков', 'ая'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];кабачковая
['▁ар', 'буз', 'ы', '▁производ', 'ств'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];арбузы производств
['▁замор', 'ожен', 'нно'];['B-TYPE', 'I-TYPE', 'I-TYPE'];замороженнно
['▁Ж', 'ва', 'чка', '▁90', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Жвачка 90г
['▁kent', '▁си', 'гар', 'ы'];['B-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];kent сигары
['▁', 'tka', 'no', '▁хлеб', 'ни', 'ц'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];tkano хлебниц
['▁сы', 'ворот', 'ка', '▁', 'пить', 'е', 'вая'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];сыворотка питьевая
['▁тендер', '▁', 'тык'];['B-BRAND', 'B-TYPE', 'I-TYPE'];тендер тык
['▁гр', 'луб', 'цы'];['B-TYPE', 'I-TYPE', 'I-TYPE'];грлубцы
['▁та', 'рел', 'ки', '▁пр', '!'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];тарелки пр!
['▁том', 'ат', 'ый'];['B-TYPE', 'I-TYPE', 'I-TYPE'];томатый
['▁', 'пить', 'е', 'вр', 'й'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];питьеврй
['▁bad', 'yar', 't'];['B-BRAND', 'I-BRAND', 'I-BRAND'];badyart
['▁m', 'jas', 'o', '▁E', '50', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];mjaso E50г
['▁макар', 'оны', '▁400', 'g', '▁где'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'O'];макароны 400g где
['▁ур', 'ологи', 'че', 'си', 'ке'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];урологичесике
['▁пи', 'телен', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE'];пителенка
['▁marta', '▁то', 'стер'];['B-BRAND', 'B-TYPE', 'I-TYPE'];marta тостер
['▁му', 'сс', '▁твор', 'ож', 'ны'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];мусс творожны
['▁замор', 'ожен', 'на'];['B-TYPE', 'I-TYPE', 'I-TYPE'];замороженна
['▁тор', 'ты'];['B-TYPE', 'I-TYPE'];торты
['▁70', 'г', '▁закуски'];['B-VOLUME', 'I-VOLUME', 'B-TYPE'];70г закуски
['▁чаш', 'ки', '▁nouvel'];['B-TYPE', 'I-TYPE', 'B-BRAND'];чашки nouvel
['▁200', '▁г', '▁круп', 'ы'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];200 г крупы
['▁Де', 'т', 'ское', '▁Пита', 'ние', '▁1.', '▁2', '▁К', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME'];Детское Питание 1. 2 Кг
['▁замор', 'ожен', 'ные', '▁тест', 'о', '▁для', '▁пи', 'ц', 'цы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];замороженные тесто для пиццы
['▁игру', 'шки', '▁115', 'Г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];игрушки 115Г
['▁че', 'с', 'н', 'рк'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];чеснрк
['▁очи', 'щен', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE'];очищенны
['▁тор', 'тик', '▁шар', 'л'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];тортик шарл
['▁кухня', '▁540', 'М', 'л'];['B-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];кухня 540Мл
['▁су', 'хар', 'и', '▁115', '▁Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];сухари 115 Г
['▁вар', 'е', 'ники', '▁до', 'рон', 'и', 'чи'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];вареники дороничи
['▁а', 'сто', '▁аб', 'сен'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];асто абсен
['▁Сыр', 'ные', '▁С', 'не', 'ки', '▁50', '▁Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Сырные Снеки 50 Г
['▁', 'кали', 'ь', 'ри'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];калиьри
['▁к', 'вас', '▁1.3', 'Л'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];квас 1.3Л
['▁кот', 'фет'];['B-TYPE', 'I-TYPE'];котфет
['▁2', '▁Ш', 'Т', '▁сти', 'рка'];['B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];2 ШТ стирка
['▁сок', '▁ej'];['B-TYPE', 'B-BRAND'];▁ сок ej
['▁мин', 'н', 'р', 'альная'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];миннральная
['▁чай', '▁с', '▁мали', 'ной'];['B-TYPE', 'O', 'O', 'O'];чай с малиной
['▁земля', '▁для', '▁цветов'];['B-TYPE', 'O', 'O'];земля для цветов
"['▁sol', ""'"", '▁56', '▁г']";['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];sol' 56 г
['▁', 'ките', 'кет'];['B-BRAND', 'I-BRAND', 'I-BRAND'];китекет
['▁бара', 'нки', '▁хлеб', 'о', 'соль', 'н'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];баранки хлебосольн
['▁ДЛЯ', '▁Д', 'РУ', 'Г', 'ИХ', '▁', 'ПИ', 'ТОМ', 'Ц', 'ЕВ', '▁70', '▁Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];ДЛЯ ДРУГИХ ПИТОМЦЕВ 70 Г
['▁для', '▁кот', 'иков', '▁85', '▁г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];для котиков 85 г
['▁', 'вля', 'енная'];['B-TYPE', 'I-TYPE', 'I-TYPE'];вляенная
['▁dr', '.', 'o', 'et', 'ker', '▁ван', 'ил', 'ьный'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];dr.oetker ванильный
['▁крем', '-', 'мы', 'ло', '▁ni', 've'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];крем-мыло nive
['▁замор', 'ожен', 'ные', '▁блюд', 'а', '▁3', '35', 'М', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME'];замороженные блюда 335Мл
['▁су', 'хар', 'ики', '▁3', '▁г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];сухарики 3 г
['▁вкус', '▁1.', '5%'];['B-TYPE', 'B-PERCENT', 'I-PERCENT'];вкус 1.5%
['▁г', 'со', 'лень', 'я'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];гсоленья
['▁3', '▁сахар'];['B-VOLUME', 'B-TYPE'];▁3 ▁сахар
['▁с', 'дой', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE'];сдойка
['▁чудо', '▁шоколад'];['B-TYPE', 'B-TYPE'];чудо шоколад
['▁', 'бад', 'ьян', '▁', 'spice', 'x', 'pe'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];бадьян spicexpe
['▁с', 'ливо', 'сно'];['B-TYPE', 'I-TYPE', 'I-TYPE'];сливосно
['▁хал', 'ва', '▁на', '▁фр', 'ук', 'то'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];халва на фрукто
['▁закуски', '▁115', '▁г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME'];закуски 115 г
['▁16%', '▁мар', 'ме', 'лад'];['B-PERCENT', 'B-TYPE', 'I-TYPE', 'I-TYPE'];16% мармелад
['▁6', '7%', '▁пожалуйста', '▁новин', 'ки', '▁с', '▁до', 'став', 'кой'];['B-PERCENT', 'I-PERCENT', 'O', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];67% пожалуйста новинки с доставкой
['▁май', 'о', 'нез', 'з'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];майонезз
['▁у', 'кс', 'ус', '▁600', '▁ml'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];уксус 600 ml
['▁be'];['O'];be
['▁leden', 'tsy', '▁45', 'г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];ledentsy 45г
['▁соба', 'чий'];['B-TYPE', 'I-TYPE'];собачий
['▁пати', 'сс', 'оны', '▁boya', 'rin'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];патиссоны boyarin
['▁ш', 'лей', 'ак'];['B-TYPE', 'I-TYPE', 'I-TYPE'];шлейак
['▁для', '▁других', '▁питом', 'цев', '▁15', '▁л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];для других питомцев 15 л
['▁525', '▁g', '▁птиц', 'а'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];525 g птица
['▁без', 'лак', 'то', 'з', 'ный', '▁й', 'о', 'гурт'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];безлактозный йогурт
['▁хлеб', 'а'];['B-TYPE', 'I-TYPE'];хлеба
['▁сок', '▁гранат', 'овый'];['B-TYPE', 'B-TYPE', 'I-TYPE'];сок гранатовый
['▁раз', 'ле', 'х', 'ли', 'тель'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];разлехлитель
['▁', 'бэр', 'эк', 'эт', 'ле', '▁ай', 'р'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];бэрэкэтле айр
['▁гор', 'чить'];['B-TYPE', 'I-TYPE'];горчить
['▁детска', 'я', '▁ги', 'ги', 'ена', '▁', 'дё', 'ше', 'во', '▁56', '▁Ш', 'Т'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];детская гигиена дёшево 56 ШТ
['▁', 'сель', 'дер', 'н', 'й'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];сельдернй
['▁минерал', 'и'];['B-TYPE', 'I-TYPE'];минерали
['▁со', 'си', 'ски', '▁мя', 'с', 'ная'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];сосиски мясная
['▁d', 'lja', '▁ko', 'sh', 'ek', '▁5', '▁л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];dlja koshek 5 л
['▁хал', 'ва', '▁16', '▁%'];['B-TYPE', 'I-TYPE', 'B-PERCENT', 'I-PERCENT'];халва 16 %
['▁фил', 'ь', 'тр', 'х'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];фильтрх
['▁пос', 'ми', 'дор', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];посмидоры
['▁сал', 'фет', 'ки', '.'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];салфетки.
['▁ми', 'ди'];['B-TYPE', 'I-TYPE'];миди
['▁кот', 'ф', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE'];котфы
['▁лимон', 'ная', '▁кислот', 'а'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];лимонная кислота
['▁й', 'о', 'гурт', '▁гре', 'ч'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];йогурт греч
['▁май', 'оне', 'ж'];['B-TYPE', 'I-TYPE', 'I-TYPE'];майонеж
['▁H', 'hod', '▁za', '▁volo', 's', 'ami', '▁650', '▁ml'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Hhod za volosami 650 ml
['▁', 'зер', 'не', 'ный', '▁твор', 'ог'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];зерненый творог
['▁губ', 'ка', '▁season', 's'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];губка seasons
['▁', 'мыг', 'кий'];['B-TYPE', 'I-TYPE', 'I-TYPE'];мыгкий
['▁са', 'зар', 'оза', 'мен', 'итель'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];сазарозаменитель
['▁коз', 'ина', 'ки', '▁бог', 'у', 'чар', 'ские'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];козинаки богучарские
['▁спа', 'ге', 'ты'];['B-TYPE', 'I-TYPE', 'I-TYPE'];спагеты
['▁су', 'лугун', 'и', '▁', 'мил', 'ков'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];сулугуни милков
['▁й', 'о', 'гур', 'ты', '▁116', '▁Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];йогурты 116 Г
['▁', 'энергетическ', 'ий', '▁на', 'пит', 'ок'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];энергетический напиток
['▁бал', 'тика', '▁0'];['B-BRAND', 'I-BRAND', 'B-PERCENT'];балтика 0
['▁спортивно', 'е', '▁пита', 'ние', '▁45', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];спортивное питание 45г
['▁холод', 'ный', '▁чай', '▁1.', '▁25', 'л', '▁что', '▁-', '▁то'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'O', 'O', 'O'];холодный чай 1. 25л что - то
['▁мо', 'ок', 'овка', '▁по', '▁коре', 'й', 'ски'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];мооковка по корейски
['▁по', 'х', 'рус', 'те', 'ть', '▁под', '▁сериал', '▁180', '▁g'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];похрустеть под сериал 180 g
['▁ги', 'аз'];['B-TYPE', 'I-TYPE'];гиаз
['▁', 'зон', 'ты', '▁city', 'k'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];зонты cityk
['▁ку', 'лич'];['B-TYPE', 'I-TYPE'];кулич
['▁pom', 'stick', 's'];['B-BRAND', 'I-BRAND', 'I-BRAND'];pomsticks
['▁пере', 'кус', '▁с', '▁поль', 'з', 'ой', '▁380', '▁г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];перекус с пользой 380 г
['▁4', '▁Y', 'М', 'л', '▁У', 'ХОД', '▁ЗА', '▁С', 'ОБ', 'ОЙ'];['B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];4 YМл УХОД ЗА СОБОЙ
['▁вода', '▁0.5'];['B-TYPE', 'B-VOLUME'];вода 0.5
['▁си', 'гар', 'ы', '▁ken'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND'];сигары ken
['▁мед', 'о'];['B-TYPE', 'I-TYPE'];медо
['▁у', 'кс', 'ус', '▁6%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT'];уксус 6%
['▁ми', 'не', 'рп', 'лка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];минерплка
['▁си', 'гар', 'ы', '▁royal'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND'];сигары royal
['▁m', '&', 'ms', '▁дра'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE'];m&ms дра
['▁10', '▁Л', '▁где', '▁предмет', 'ы', '▁для', '▁у', 'бор', 'ки'];['B-VOLUME', 'I-VOLUME', 'O', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];10 Л где предметы для уборки
['▁очисти', 'тель', '▁марк', 'е'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];очиститель марке
['▁игру', 'шки', '▁для', '▁ко', 'шек'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O'];игрушки для кошек
['▁', 'яй', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE'];яйы
['▁d', 'rim', 's'];['B-BRAND', 'I-BRAND', 'I-BRAND'];drims
['▁пыл', 'е', 'со', 'сы', '▁energy'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND'];пылесосы energy
['▁so', 'j'];['B-BRAND', 'I-BRAND'];soj
['▁с', '5', 'ме', 'чки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];с5мечки
['▁салат', 'ы', '▁250', 'м', 'л'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];салаты 250мл
['▁кол', 'баса', '▁вар', 'ё', 'ная'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];колбаса варёная
['▁сыр', '▁плав', 'ле', 'ный'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];сыр плавленый
['▁предмет', 'ы', '▁для', '▁у', 'бор', 'ки', '▁60', '▁шт'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];предметы для уборки 60 шт
['▁ша', 'кола', 'дка'];['B-TYPE', 'I-TYPE', 'I-TYPE'];шаколадка
['▁суп', 'ы', '▁240', 'г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];супы 240г
['▁прочие', '▁на', 'пит'];['B-TYPE', 'B-TYPE', 'I-TYPE'];прочие напит
['▁пиво', '▁0.0', '%'];['B-TYPE', 'B-PERCENT', 'I-PERCENT'];пиво 0.0%
['▁5%', '▁молоко'];['B-PERCENT', 'B-TYPE'];5% молоко
['▁су', 'х', 'ие', '▁завтра', 'ки', '▁350', '▁Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];сухие завтраки 350 Г
['▁бата', 'рей'];['B-TYPE', 'I-TYPE'];батарей
['▁рез', 'инки'];['B-TYPE', 'I-TYPE'];резинки
['▁мэри', '▁рулет'];['B-BRAND', 'B-TYPE'];мэри рулет
['▁добро', 'дел', '▁вар', 'ено', '-', 'коп', 'че', 'ны'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];добродел варено-копчены
['▁только', '▁в', '▁до', 'став', 'ке', '▁13%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT'];только в доставке 13%
['▁made', 'rno', '▁тебе'];['B-BRAND', 'I-BRAND', 'O'];maderno тебе
['▁без', '▁гл', 'ют', 'ена', '▁50', '▁г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];без глютена 50 г
['▁со', '▁ни'];['B-TYPE', 'B-BRAND'];▁со ▁ ни
['▁бумаг', 'а', '▁40', '▁шт', '▁онлайн'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'O'];бумага 40 шт онлайн
['▁пер', 'фект'];['B-BRAND', 'I-BRAND'];перфект
['▁с', 'теп', 'лер', '▁ning', 'bo'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];степлер ningbo
['▁', 'хаж', 'арка'];['B-TYPE', 'I-TYPE', 'I-TYPE'];хажарка
['▁на', 'вол', 'очка', '▁уни', 'со'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];наволочка унисо
['▁в', 'аф', 'ли', '▁с', '▁бел', 'ой'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O'];вафли с белой
['▁на', '▁', 'КЕ'];['B-BRAND', 'B-TYPE', 'I-TYPE'];на ▁ КЕ
['▁дур', 'шла', 'ги', ',', '▁си', 'та'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];дуршлаги, сита
['▁фар', 'ш', 'б'];['B-TYPE', 'I-TYPE', 'I-TYPE'];фаршб
['▁', 'конструктор', 'ом'];['B-TYPE', 'I-TYPE', 'I-TYPE'];конструктором
['▁роли'];['B-TYPE'];роли
['▁раз', 'рих', 'ли', 'тел'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];разрихлител
['▁комби', 'не', 'он'];['B-TYPE', 'I-TYPE', 'I-TYPE'];комбинеон
